ID,Title,Award Category,Platform,Status,Expected Filename,File Size,File Path,URL
71,1837 TIFFANY BLUE CONSERVATION – TIFFANY & CO. (L&C NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_071.mp4,-,-,https://www.youtube.com/watch?v=_JhBOf0OJrQ
72,1837 TIFFANY BLUE CONSERVATION – TIFFANY & CO (L&C NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_072.mp4,-,-,https://www.youtube.com/watch?v=npGswWNcZC8
74,ANNAHAR’S ACTIVE JOURNALISM – ANNAHAR (IMPACT BBDO DUBAI),Grand Prix,VIMEO,Not Downloaded,ad_074.mp4,-,-,https://vimeo.com/1094885200/2225619ba7
76,BABY MINDER – EUROFARMA (OGILVY HEALTH NEW YORK),Grand Prix,VIMEO,Not Downloaded,ad_076.mp4,-,-,https://vimeo.com/1081167145
77,"BACK HOME – IMPERIAL (JOYSTICK, FIFCO SAN JOSE)",Grand Prix,YOUTUBE,Not Downloaded,ad_077.mp4,-,-,https://www.youtube.com/watch?v=eldXt2qk7Aw
79,BRING KOREA TO THE WORLD – NETFLIX (NETFLIX LOS ANGELES),Grand Prix,VIMEO,Not Downloaded,ad_079.mp4,-,-,https://vimeo.com/1094609025
80,BUILDING A MORE RESILIENT AUSTRALIA – SUNCORP (LEO SYDNEY),Grand Prix,VIMEO,Not Downloaded,ad_080.mp4,-,-,https://vimeo.com/1094885092/740ca01ef6
81,BUMPBOARDS – CITROEN (BETC PARIS),Grand Prix,YOUTUBE,Not Downloaded,ad_081.mp4,-,-,https://www.youtube.com/watch?v=Qh8iW06HWYI
82,CALL BACK SERVICE – EXPORT ULTRA (CARAT & SPECIAL AUCKLAND),Grand Prix,YOUTUBE,Not Downloaded,ad_082.mp4,-,-,https://www.youtube.com/watch?v=EMZYDpxI_KI
83,CHOOSE UBER – HEETCH (BETC PARIS),Grand Prix,YOUTUBE,Not Downloaded,ad_083.mp4,-,-,https://www.youtube.com/watch?v=l9rO0yGTLEM
84,CODE MY CROWN – DOVE (EDELMAN LONDON),Grand Prix,YOUTUBE,Not Downloaded,ad_084.mp4,-,-,https://www.youtube.com/watch?v=cWOA7eUk1Bw
86,COLD ACTIVATED ANNOUNCERS – COORS LIGHT (ALMA MIAMI),Grand Prix,VIMEO,Not Downloaded,ad_086.mp4,-,-,https://vimeo.com/1085086975
89,EVERYTHING COVERED: 100 YEARS OF THE NEW YORKER – THE NEW YORKER (LETRUC NEW YORK),Grand Prix,YOUTUBE,Not Downloaded,ad_089.mp4,-,-,https://www.youtube.com/watch?v=ZNXawJuIkMY
90,FIXABLES – PHILIPS (LEPUB AMSTERDAM),Grand Prix,VIMEO,Not Downloaded,ad_090.mp4,-,-,https://vimeo.com/1093399093
91,FOLLOWERS STORE – NEW BALANCE (LEPUB SÃO PAULO),Grand Prix,VIMEO,Not Downloaded,ad_091.mp4,-,-,https://vimeo.com/1090614137
